#separator:tab
#html:false
【国121】委身	置身，寄身
【国122】委	放置                        离开                        舍弃                        积蓄                        推卸
【国123】与	对付                        赞扬
【国124】特…耳	只是…罢了
【国125】甫	古代对男子的美称                        始，才
【国126】出入	进出（偏指，入）                        支出和收入                        指“上下”表约数                        有异有同                        往来                        或出或入，比喻变化无定
【国127】苟	苟且，随便                        尚且，或许                        连词，假如，如果
【国128】簿书听断	处理公文，办理政务
【国129】预	预先，事先                        通“与”参加，干预，干涉
【国130】契阔	离合聚散       偏指，离散）；久别的情愫（非陈契阔之所                 劳苦，勤苦v       契阔于田亩间
【国131】违	离开，远离       便起告违，拂衣而去                 避开，躲避                        违背，违反       不违农时
【国132】佥 qiān	皆，都       佥曰宜为贞节先生
【国133】赍	持有，携带       赍黄金千斤                 怀着，抱着       赍无异之议
【国134】劾	定罪，判决                        检举揭发，弹劾       所在多被劾
【国135】多	重要，重视       身与货孰多                 赞美       皆多其义
【国136】无	表条件，无论，不论       无愚知皆知之                 表假设，即使       国无小，不可易也                 通“勿”，不要，别       无食桑葚
【国137】睚眦	怒目而视                        引申为小的仇恨       以睚眦杀人
【国138】然	竟，便       得斗升之水然活耳                 表转折，可是，却，但       然天下无贤与不肖，皆慕其声                 如此，这样       河东凶亦然
【国139】矜	夸耀       不矜其功，不伐其能。伐：夸耀                 崇尚       矜功名                 哀怜，同情       矜其子民
【国140】皇	始                        从                        假如，若       皇非圣人，外宁必有内忧                 即使，
【国141】几	[jǐ] 几次，屡次                        [jī] 接近                        [jī] 几乎，差不多       微君，太子几废
【国142】闲	通“娴”熟习       好饮酒，闲于占对                 限制，约束                        抵抗       授官不闲，则民闲其治
【国143】狱	诉讼案件       小大之狱                 罪，过失       此死狱也                 争论       弟兄相狱
【国144】恒	平常的，普通的                        经常       性嗜酒，家贫不能恒得
【国145】辟	开，打开                        排除，驳斥       辟耳目之欲                 被任以官职
【国146】独	唯独，只有                        偏偏                        岂，难道       相如虽驽，独畏廉将军哉
